Ticker,Date,Open,High,Low,Close,Adj Close,Volume
PINS,4/18/2019,23.75,25.18,23.049999,24.4,24.4,87109500
PINS,4/22/2019,24.620001,25.68,23.57,24.99,24.99,19746800
PINS,4/23/2019,25.379999,27.75,25.23,25.85,25.85,19245400
PINS,4/24/2019,26.5,27.030001,25.933001,26.799999,26.799999,9477200
PINS,4/25/2019,27.450001,29.4,26.67,28.799999,28.799999,16648300
PINS,4/26/2019,29.84,30.68,28.370001,29.85,29.85,16825600
PINS,4/29/2019,30.77,34.41,29.860001,34.259998,34.259998,25616700
PINS,4/30/2019,35.200001,35.290001,30.530001,30.98,30.98,35885700
PINS,5/1/2019,31.5,32.889999,30.5,31.23,31.23,13981300
PINS,5/2/2019,31.620001,31.68,28.860001,29.74,29.74,14052400
PINS,5/3/2019,29.549999,30.549999,28.120001,28.360001,28.360001,10611000
PINS,5/6/2019,27.67,30,26.9,29.5,29.5,9930600
PINS,5/7/2019,29.67,29.75,28.16,28.690001,28.690001,6310900
PINS,5/8/2019,28.459999,30.200001,28.370001,29.51,29.51,7115900
PINS,5/9/2019,29.09,29.26,28.42,28.75,28.75,4507200
PINS,5/10/2019,29.08,29.450001,27.66,29.049999,29.049999,5709000
PINS,5/13/2019,27.799999,28,26.389999,26.629999,26.629999,9111300
PINS,5/14/2019,27.41,29.02,27.02,28.99,28.99,7075100
PINS,5/15/2019,28.950001,29.1,28.129999,28.629999,28.629999,4492800
PINS,5/16/2019,28.85,31.15,28.450001,30.860001,30.860001,17612000
PINS,5/17/2019,25.870001,28.120001,25.700001,26.700001,26.700001,26271800
PINS,5/20/2019,27.24,27.24,25.709999,25.85,25.85,7269200
PINS,5/21/2019,26.299999,26.549999,25.299999,25.41,25.41,6481700
PINS,5/22/2019,25.299999,25.34,24.1,24.6,24.6,7955700
PINS,5/23/2019,24.15,24.33,23.6,23.799999,23.799999,4718200
PINS,5/24/2019,24,25.99,23.889999,25.5,25.5,7738300
PINS,5/28/2019,25.65,26.379999,25.41,25.799999,25.799999,4550900
PINS,5/29/2019,25.42,25.780001,24.950001,25.58,25.58,2537700
PINS,5/30/2019,25.540001,25.889999,25.129999,25.51,25.51,1982200
PINS,5/31/2019,24.99,25.629999,24.75,24.92,24.92,2618000
PINS,6/3/2019,24.98,25.139999,24.23,24.4,24.4,3691300
PINS,6/4/2019,24.860001,24.950001,24.07,24.200001,24.200001,3687100
PINS,6/5/2019,24.52,25.07,23.91,24.940001,24.940001,2703200
PINS,6/6/2019,24.940001,25.969999,24.91,25.809999,25.809999,3573700
PINS,6/7/2019,26,27.74,25.969999,27.610001,27.610001,6580200
PINS,6/10/2019,27.84,28.950001,27.068001,27.940001,27.940001,5750900
PINS,6/11/2019,28.18,28.190001,26.165001,26.48,26.48,4269000
PINS,6/12/2019,26.23,27.5,26.209999,27.049999,27.049999,3160100
PINS,6/13/2019,27.290001,27.360001,26.67,26.950001,26.950001,1629500
PINS,6/14/2019,26.9,27.959999,26.5,27.41,27.41,2630300
PINS,6/17/2019,27.66,28.73,27.330999,27.85,27.85,4439500
PINS,6/18/2019,29.459999,29.809999,28.219999,28.799999,28.799999,8769900
PINS,6/19/2019,29,29.1,27.559999,28.09,28.09,3978800
PINS,6/20/2019,28.84,29.08,27.440001,27.540001,27.540001,3975900
PINS,6/21/2019,27.32,27.98,27.219999,27.98,27.98,5794600
PINS,6/24/2019,27.98,28.110001,26.57,26.690001,26.690001,3242900
PINS,6/25/2019,26.549999,27.09,25.82,26.139999,26.139999,2658700
PINS,6/26/2019,26.370001,26.690001,25.864,26.23,26.23,1960000
PINS,6/27/2019,26.33,27.370001,26.299999,27.23,27.23,2281800
PINS,6/28/2019,27.370001,27.65,26.6,27.219999,27.219999,2714500
PINS,7/1/2019,27.6,28.049999,26.440001,26.68,26.68,3755600
PINS,7/2/2019,26.799999,27.16,26.41,26.91,26.91,2749000
PINS,7/3/2019,26.940001,27.690001,26.940001,27.469999,27.469999,2329600
PINS,7/5/2019,27.469999,27.5,26.82,27.25,27.25,1870500
PINS,7/8/2019,27.200001,27.85,26.659,26.77,26.77,2410700
PINS,7/9/2019,26.77,27.07,26.51,26.719999,26.719999,1793000
PINS,7/10/2019,26.959999,27.370001,26.299999,26.58,26.58,2727400
PINS,7/11/2019,26.709999,26.719999,25.870001,26.1,26.1,2843900
PINS,7/12/2019,26.23,26.75,26.129999,26.41,26.41,1576400
PINS,7/15/2019,26.58,26.889999,26.389999,26.67,26.67,1633300
PINS,7/16/2019,26.66,26.99,26.299999,26.51,26.51,1370400
PINS,7/17/2019,26.6,26.709999,25.870001,25.91,25.91,1815100
PINS,7/18/2019,25.719999,25.85,25.32,25.780001,25.780001,1292800
PINS,7/19/2019,25.85,26.18,25.51,25.559999,25.559999,1563700
PINS,7/22/2019,25.629999,26.469999,25.450001,26.219999,26.219999,2757500
PINS,7/23/2019,26.52,26.85,26.110001,26.780001,26.780001,2391700
PINS,7/24/2019,26.93,28,26.85,27.82,27.82,4305300
PINS,7/25/2019,27.92,27.969999,27.23,27.59,27.59,2253100
PINS,7/26/2019,27.98,28.4,27.299999,27.639999,27.639999,2727900
PINS,7/29/2019,27.799999,28.32,27.18,27.860001,27.860001,3178800
PINS,7/30/2019,27.610001,29,27.32,28.620001,28.620001,3728900
PINS,7/31/2019,28.59,29.59,28.43,28.99,28.99,4222100
