Ticker,Date,Open,High,Low,Close,Adj Close,Volume
PYPL,1/7/2016,33.150002,34.160999,33.02,33.130001,33.130001,11041100
PYPL,1/8/2016,33.459999,33.880001,32.630001,32.689999,32.689999,7848800
PYPL,1/11/2016,33.02,33.43,32.470001,33.040001,33.040001,8937400
PYPL,1/12/2016,33.349998,33.57,32.66,33.080002,33.080002,7854000
PYPL,1/13/2016,33.279999,33.57,31.969999,32.119999,32.119999,8069400
PYPL,1/14/2016,32.150002,33.040001,31.705,32.869999,32.869999,7749500
PYPL,1/15/2016,31.620001,32.540001,31.620001,32.310001,32.310001,12174400
PYPL,1/19/2016,32.759998,33.18,31.93,32.200001,32.200001,6674700
PYPL,1/20/2016,31.43,31.700001,30.52,31.200001,31.200001,13170600
PYPL,1/21/2016,31.610001,31.74,30.9,31.200001,31.200001,9978900
PYPL,1/22/2016,31.65,31.969999,31.540001,31.690001,31.690001,9444000
PYPL,1/25/2016,31.98,31.98,31.35,31.469999,31.469999,7591800
PYPL,1/26/2016,31.49,31.98,31.389999,31.969999,31.969999,8617000
PYPL,1/27/2016,31.959999,32.630001,31.379999,31.59,31.59,12711700
PYPL,1/28/2016,33.630001,34.75,33.349998,34.240002,34.240002,20378600
PYPL,1/29/2016,34.490002,36.259998,34.360001,36.139999,36.139999,21201100
PYPL,2/1/2016,35.650002,37.32,35.59,37.080002,37.080002,17356000
PYPL,2/2/2016,36.529999,37.77,36.439999,36.830002,36.830002,17310600
PYPL,2/3/2016,36.869999,37.549999,36.07,37.009998,37.009998,14543100
PYPL,2/4/2016,36.66,37.285,36.540001,37.169998,37.169998,10212300
PYPL,2/5/2016,37.16,37.16,34.82,35.07,35.07,16245800
PYPL,2/8/2016,34,34.290001,31.98,33.610001,33.610001,20629000
PYPL,2/9/2016,32.799999,33.858002,31.639999,32.700001,32.700001,16439200
PYPL,2/10/2016,33.619999,33.939999,32.82,32.900002,32.900002,8636500
PYPL,2/11/2016,32.119999,33.639999,32.009998,33.52,33.52,13170100
PYPL,2/12/2016,33.970001,34.439999,33.810001,34.299999,34.299999,9437100
PYPL,2/16/2016,34.650002,35.52,34.48,35.459999,35.459999,9152400
PYPL,2/17/2016,35.98,36.91,35.810001,36.360001,36.360001,12070600
PYPL,2/18/2016,36.41,36.529999,35.66,36.310001,36.310001,9022100
PYPL,2/19/2016,36,36.235001,35.610001,35.759998,35.759998,9652800
PYPL,2/22/2016,36.450001,36.5,35.82,36,36,10476200
PYPL,2/23/2016,35.720001,35.935001,35.02,35.48,35.48,8415200
PYPL,2/24/2016,35.220001,36.75,34.860001,36.470001,36.470001,8090600
PYPL,2/25/2016,36.669998,36.830002,36.18,36.740002,36.740002,5209500
PYPL,2/26/2016,36.73,37.535,36.369999,37.490002,37.490002,8595000
PYPL,2/29/2016,37.470001,38.93,37.450001,38.139999,38.139999,23939900
PYPL,3/1/2016,38.52,39.544998,38.02,39.25,39.25,14085300
PYPL,3/2/2016,39.200001,39.93,38.700001,39.16,39.16,12895900
PYPL,3/3/2016,38.959999,39.240002,38.629002,39.02,39.02,7656900
PYPL,3/4/2016,38.77,39.700001,38.755001,39.040001,39.040001,7200100
PYPL,3/7/2016,38.779999,39.400002,38.720001,38.98,38.98,5327200
PYPL,3/8/2016,38.689999,38.880001,38.110001,38.16,38.16,6012700
PYPL,3/9/2016,38.48,38.619999,37.82,38.57,38.57,4990500
PYPL,3/10/2016,38.66,39.299999,37.48,38.490002,38.490002,7655700
PYPL,3/11/2016,39,39.529999,38.849998,39.490002,39.490002,9539500
PYPL,3/14/2016,39.400002,39.799999,39.040001,39.380001,39.380001,5299700
PYPL,3/15/2016,39.049999,39.639999,39.049999,39.27,39.27,5013900
PYPL,3/16/2016,39.09,39.889999,38.57,39.84,39.84,6363500
PYPL,3/17/2016,39.849998,40.119999,39.169998,39.93,39.93,9789600
PYPL,3/18/2016,39.860001,39.860001,38.689999,39.41,39.41,15132400
PYPL,3/21/2016,39.41,41.169998,39.200001,41.139999,41.139999,13432400
PYPL,3/22/2016,40.669998,41.75,40.630001,41.32,41.32,10552300
PYPL,3/23/2016,41.060001,41.310001,40.040001,40.52,40.52,8104700
PYPL,3/24/2016,39.400002,39.509998,37,38.919998,38.919998,15040600
PYPL,3/28/2016,38.810001,39.169998,38.619999,38.740002,38.740002,6192900
PYPL,3/29/2016,38.740002,39.715,38.299999,39.529999,39.529999,5694000
PYPL,3/30/2016,39.939999,40.040001,38.994999,39.040001,39.040001,5246800
PYPL,3/31/2016,38.740002,39,38.43,38.599998,38.599998,8087000
PYPL,4/1/2016,38.509998,39.459999,38.400002,39.400002,39.400002,6982000
PYPL,4/4/2016,39.360001,39.380001,38.41,38.790001,38.790001,5381300
PYPL,4/5/2016,38.349998,38.810001,37.700001,38.549999,38.549999,5364800
PYPL,4/6/2016,38.450001,39.185001,38.25,39.16,39.16,5526200
PYPL,4/7/2016,38.849998,38.939999,38.119999,38.279999,38.279999,7294500
PYPL,4/8/2016,38.610001,38.699001,38.099998,38.41,38.41,7822300
