Ticker,Date,Open,High,Low,Close,Adj Close,Volume
MRNA,12/7/2018,22,22.75,18.51,18.6,18.6,12995600
MRNA,12/10/2018,18.9,19.438999,18,18.799999,18.799999,4233300
MRNA,12/11/2018,20.549999,20.66,17.99,18.01,18.01,3435300
MRNA,12/12/2018,18.549999,19.48,18.02,18.68,18.68,2590700
MRNA,12/13/2018,19.25,19.290001,18.68,18.76,18.76,1608600
MRNA,12/14/2018,18.75,18.881001,18.25,18.32,18.32,746300
MRNA,12/17/2018,18.33,18.469999,16.9,17,17,1580800
MRNA,12/18/2018,17.1,17.25,16.25,17,17,1621600
MRNA,12/19/2018,16.860001,17.370001,16,16.18,16.18,941500
MRNA,12/20/2018,16,16.139999,14.75,15.5,15.5,2365200
MRNA,12/21/2018,15.4,15.5,13.95,14.47,14.47,2063000
MRNA,12/24/2018,14.32,14.32,13.75,14.03,14.03,665400
MRNA,12/26/2018,14.15,14.31,13.03,13.52,13.52,1817800
MRNA,12/27/2018,13.49,14.95,13.27,14.65,14.65,1769500
MRNA,12/28/2018,14.72,14.85,13.818,14.15,14.15,929100
MRNA,12/31/2018,14.24,15.3,14.213,15.27,15.27,994700
MRNA,1/2/2019,14.93,15.45,14.51,15.33,15.33,2318100
MRNA,1/3/2019,15.49,16.08,15.2,15.5,15.5,1588900
MRNA,1/4/2019,16,17.5,15.894,16.959999,16.959999,1651800
MRNA,1/7/2019,17.540001,17.940001,16.18,16.27,16.27,1585400
MRNA,1/8/2019,17.35,17.468,16.049999,16.950001,16.950001,1892700
MRNA,1/9/2019,17.200001,17.25,16.15,16.33,16.33,1187400
MRNA,1/10/2019,16.360001,16.51,16,16.48,16.48,487300
MRNA,1/11/2019,16.6,17.059999,16.530001,17,17,580600
MRNA,1/14/2019,17,17.059999,16.719999,16.74,16.74,612900
MRNA,1/15/2019,17,17,16.41,16.59,16.59,468100
MRNA,1/16/2019,16.799999,16.950001,16.26,16.26,16.26,272800
MRNA,1/17/2019,16.049999,16.530001,16.049999,16.309999,16.309999,315700
MRNA,1/18/2019,16.459999,16.799999,16.25,16.690001,16.690001,630000
MRNA,1/22/2019,16.620001,16.635,15.35,15.56,15.56,636900
MRNA,1/23/2019,15.59,15.92,14.76,14.79,14.79,652600
MRNA,1/24/2019,14.9,15.195,14.64,14.64,14.64,452900
MRNA,1/25/2019,14.8,14.92,14.4,14.91,14.91,942200
MRNA,1/28/2019,14.84,14.84,14.45,14.45,14.45,656500
MRNA,1/29/2019,14.46,14.875,14.45,14.63,14.63,592800
MRNA,1/30/2019,14.72,15.545,14.65,15.13,15.13,758900
MRNA,1/31/2019,15.24,17.48,15.24,16.6,16.6,2259200
MRNA,2/1/2019,16.799999,17.007999,15.9,16.219999,16.219999,617200
MRNA,2/4/2019,16.219999,16.49,15.95,16.27,16.27,297800
MRNA,2/5/2019,16.290001,17.49,16.208,17.18,17.18,652700
MRNA,2/6/2019,17.25,18.389999,17.110001,18.139999,18.139999,1015900
MRNA,2/7/2019,17.950001,18.068001,17.040001,17.049999,17.049999,527600
MRNA,2/8/2019,17.1,18.15,17.1,17.99,17.99,685700
MRNA,2/11/2019,17.99,18.646,17.750999,18.17,18.17,597900
MRNA,2/12/2019,18.209999,18.76,17.6,18.690001,18.690001,753100
MRNA,2/13/2019,18.99,19.219999,18.299999,18.530001,18.530001,1333500
MRNA,2/14/2019,18.639999,19.959999,18.629999,19.66,19.66,1091400
MRNA,2/15/2019,19.940001,21.466999,19.700001,21.440001,21.440001,2087400
MRNA,2/19/2019,21.51,21.513,20.049999,20.83,20.83,1204700
MRNA,2/20/2019,21.120001,21.24,19.129999,19.92,19.92,1159900
MRNA,2/21/2019,19.74,19.98,18.879999,19.34,19.34,822600
MRNA,2/22/2019,19.35,20.040001,19.35,19.879999,19.879999,567600
MRNA,2/25/2019,20.540001,22.299999,19.83,21.65,21.65,1917900
MRNA,2/26/2019,21.6,24.4,21.559999,23.700001,23.700001,2522800
MRNA,2/27/2019,23.370001,23.83,21.530001,22.1,22.1,1553000
MRNA,2/28/2019,22.450001,23.030001,22.049999,22.6,22.6,511000
MRNA,3/1/2019,23.09,23.389999,21.639999,22.27,22.27,867000
MRNA,3/4/2019,22.469999,22.799999,20.52,21.120001,21.120001,1134100
