Date,open,high,low,close,adj_close,volume,high_low,pct_change,mdav5,ema5,ema26,ema12,macd,macd_signalline,Ticker,hour,minute,Actual,Predicted
2019-02-27,143.3000030517578,144.89999389648438,141.2899932861328,141.57000732421875,136.88465881347656,1742100,3.6100006103515625,0.002052611690347428,141.10799865722657,141.84634474611505,141.40720087374666,141.59980381345804,-0.19260293971137799,-0.19260293971137799,PXD,0,0,141.57000732421875,140.9499969482422
2019-03-08,133.52000427246094,133.80999755859378,130.07000732421878,130.36000061035156,126.04566192626952,1969600,3.739990234375,-0.09760478557850616,138.36800231933594,139.15115708690976,140.72471787020748,140.3864119530144,0.33830591719308245,-0.09161942170103224,PXD,0,0,130.36000061035156,129.6199951171875
2019-03-14,135.3800048828125,137.58000183105472,135.3800048828125,136.3699951171875,131.85675048828122,1272900,2.199996948242216,0.0003666274339424458,133.9759979248047,137.07880655245015,139.64728075816618,138.83094308311945,0.816337675046725,0.2977299917284587,PXD,0,0,136.3699951171875,136.10000610351562
2019-03-22,144.61000061035156,144.61000061035156,138.85000610351562,140.55999755859378,135.90806579589844,1635000,5.7599945068359375,0.036043241560696604,141.4760009765625,139.82959097805283,139.90499456050003,139.62231247380853,0.2826820866914943,0.4517976391549284,PXD,0,0,140.55999755859378,139.22999572753906
2019-03-26,141.97999572753906,143.86000061035156,140.83999633789062,143.07000732421875,138.33502197265622,1031200,3.0200042724609375,0.03516401481212661,142.71799926757814,140.3837565740398,140.04956378064395,139.91741469458393,0.13214908606002496,0.39570017846715577,PXD,0,0,143.07000732421875,142.25
2019-03-29,155.27999877929688,155.89999389648438,152.08999633789062,152.27999877929688,147.56109619140625,2913600,3.80999755859375,0.08574200749062166,147.06799926757813,144.89006251943007,141.43076663963294,142.31644318126888,-0.8856765416359451,0.1171030031557979,PXD,0,0,152.27999877929688,150.99000549316406
2019-04-02,151.38999938964844,152.02000427246094,148.0500030517578,148.17999267578125,143.588134765625,1643100,3.970001220703125,0.03797384579883989,150.3019989013672,146.2857518791356,142.12719631395422,143.40322229122893,-1.2760259772747133,-0.15547479715518547,PXD,0,0,148.17999267578125,147.89999389648438
2019-04-05,148.00999450683594,150.72000122070312,147.89999389648438,150.67999267578125,146.01068115234375,1396600,2.82000732421875,-0.010506936306920678,148.68599853515624,147.16347613162077,142.87216938066854,144.44439204755355,-1.5722226668850112,-0.5215419233761386,PXD,0,0,150.67999267578125,149.7899932861328
2019-04-11,149.9499969482422,151.44000244140625,148.52999877929688,150.9199981689453,146.2432403564453,1170400,2.910003662109375,0.023047667234540326,150.5519989013672,148.89769439261568,144.08429917498236,146.12478165791796,-2.0404824829356016,-1.0138959188529701,PXD,0,0,150.9199981689453,151.72999572753906
2019-04-15,168.1999969482422,171.75999450683594,166.5800018310547,167.74000549316406,162.54202270507812,3387000,5.17999267578125,0.10551632445265424,157.2820037841797,154.73574736835684,146.03529548398453,149.39254289889558,-3.3572474149110576,-1.4159824828685323,PXD,0,0,167.74000549316406,168.32000732421875
2019-04-25,172.3699951171875,173.1199951171875,167.69000244140625,168.00999450683594,162.80364990234375,2652300,5.42999267578125,-0.028843957947609966,173.40999755859374,167.64458486399184,152.85594902008955,159.5265434537728,-6.670594433683249,-3.737945832827924,PXD,0,0,168.00999450683594,164.94000244140625
2019-04-30,167.75,168.1999969482422,165.2100067138672,166.4600067138672,161.3017120361328,1482100,2.989990234375,-0.052697321698609856,167.50599975585936,166.87098535186678,154.34482585318395,160.86194202641835,-6.517116173234399,-4.508760786014457,PXD,0,0,166.4600067138672,165.75
2019-05-03,155.0,157.77999877929688,154.13999938964844,156.08999633789062,151.25303649902344,1425500,3.6399993896484375,-0.05365591233600708,159.95,162.18384699901122,154.51430289675713,159.7776975912646,-5.263394694507468,-4.82086762146909,PXD,0,0,156.08999633789062,156.2899932861328
2019-05-08,147.89999389648438,154.02000427246094,147.88999938964844,153.77000427246094,149.0049285888672,3041300,6.1300048828125,-0.026648876561007562,153.51799926757812,158.12523096135496,154.3017818843629,158.2447655942761,-3.942983709913193,-4.693464473424875,PXD,0,0,153.77000427246094,153.47000122070312
2019-05-15,148.92999267578125,152.0500030517578,148.41000366210938,151.49000549316406,146.7955780029297,1008000,3.6399993896484375,-0.014827365825150096,150.8220001220703,153.67295230773695,153.6660106424775,155.76831837916495,-2.1023077366874645,-3.8843947535343473,PXD,0,0,151.49000549316406,151.64999389648438
2019-05-24,147.3300018310547,148.57000732421875,145.3000030517578,147.0,142.44473266601562,1390400,3.2700042724609375,-0.04712502547989739,151.57000122070312,151.947161611558,153.318227395311,154.13026495076355,-0.8120375554525481,-2.6287877927579077,PXD,0,0,147.0,146.77999877929688
2019-06-03,142.4199981689453,143.33999633789062,140.9499969482422,142.61000061035156,138.19076538085938,1787900,2.3899993896484375,-0.029863984476915406,144.697998046875,147.29182523734266,151.76806124886733,150.9379629287089,0.8300983201584131,-1.4688710938742906,PXD,0,0,142.61000061035156,141.9600067138672
2019-06-14,143.25999450683594,143.75,140.58000183105472,141.5800018310547,137.19265747070312,1497700,3.169998168945284,-0.02345167148782934,143.402001953125,144.05779532656268,149.33843168589345,147.09500434807865,2.2434273378148077,0.5346925155021431,PXD,0,0,141.5800018310547,140.9499969482422
2019-06-17,140.8300018310547,144.99000549316406,140.05000305175778,144.61000061035156,140.12876892089844,1427000,4.940002441406278,-0.0008290629880063349,143.3780029296875,144.14982954129923,149.15949503108493,146.90379579265996,2.255699238424967,0.7068447802224771,PXD,0,0,144.61000061035156,144.72999572753906
2019-06-28,151.08999633789062,154.2899932861328,150.47999572753906,153.86000061035156,149.09213256835938,3007000,3.80999755859375,-0.008697898288604455,151.0760009765625,150.204360761151,149.84512225774372,149.28958693109865,0.5555353266450709,0.9545809102710986,PXD,0,0,153.86000061035156,154.2100067138672
2019-07-15,144.5500030517578,145.66000366210938,140.47999572753906,140.69000244140622,136.33026123046878,1061400,5.1800079345703125,-0.03504797629908274,143.96000061035156,145.37736836464106,148.35441976209898,146.8930552421771,1.4613645199218865,1.0079169418814233,PXD,0,0,140.69000244140622,140.03999328613278
