Date,open,high,low,close,adj_close,volume,high_low,pct_change,mdav5,ema5,ema26,ema12,macd,macd_signalline,Ticker,hour,minute
2019-01-22,67.0,67.23999786376953,65.58000183105469,65.75,61.8296127319336,6915500,1.6599960327148438,,,,,,,,COP,0,0
2019-01-23,66.22000122070311,66.45999908447266,65.15000152587889,65.86000061035156,61.93305969238281,5938700,1.3099975585937642,,,,,,,,COP,0,0
2019-01-24,65.97000122070311,66.73000335693361,65.44999694824219,66.12000274658203,62.17754745483398,5789900,1.2800064086914205,,,,,,,,COP,0,0
2019-01-25,66.65000152587889,67.61000061035156,66.51999664306639,66.98999786376953,62.99567413330078,4504500,1.0900039672851705,,,,,,,,COP,0,0
2019-01-28,65.87000274658203,65.87000274658203,64.87999725341797,65.34999847412111,61.45346069335938,5942800,0.9900054931640625,,66.01399993896484,66.01581351215214,,,,,COP,0,0
2019-01-29,66.20999908447266,66.29000091552734,65.25,65.30000305175781,61.40644454956055,5308800,1.0400009155273438,-0.006844102100521443,65.9240005493164,65.83643991349189,,,,,COP,0,0
2019-01-30,65.80000305175781,66.09999847412111,65.11000061035156,65.69000244140625,61.773193359375,8087400,0.9899978637695455,-0.0025812762004954193,65.89000091552734,65.80258553143328,,,,,COP,0,0
2019-01-31,66.54000091552734,68.30999755859375,65.90000152587889,67.69000244140625,63.6539421081543,9927700,2.409996032714858,0.02374481969384168,66.2040008544922,66.21248439039366,,,,,COP,0,0
2019-02-01,68.33999633789061,69.44999694824219,68.09999847412111,68.68000030517578,64.58489990234375,7486400,1.3499984741210795,0.025227538095395463,66.54200134277343,66.72260107356655,,,,,COP,0,0
2019-02-04,68.19000244140625,70.01000213623047,68.19000244140625,69.93000030517578,65.76036834716797,5593100,1.8199996948242188,0.0700840539363472,67.45800170898437,67.36013249618938,,,,,COP,0,0
2019-02-05,69.65000152587889,69.95999908447266,69.11000061035156,69.26000213623047,65.13034057617189,4483900,0.8499984741210938,0.06064340728285966,68.2500015258789,67.72602173136272,,,,,COP,0,0
